Can #	Lat	Long	Image	Recycle
1	40.4456945	-79.9626408	1.jpeg	FALSE
2	40.4457234	-79.9627632	2.jpeg	TRUE
3	40.4425995	-79.9560419	3.jpeg	FALSE
4	40.4419462	-79.9565498	4.jpeg	FALSE
5	40.4419909	-79.9566249	5.jpeg	FALSE
6	40.4416559	-79.9569753	6.jpeg	FALSE
7	40.4414591	-79.9569609	7.jpeg	FALSE
8	40.4415523	-79.9571325	8.jpeg	FALSE
9	40.4457897	-79.9628104	9.jpeg	FALSE
10	40.4457897	-79.9628104	10.jpeg	TRUE
11	40.4411754	-79.9576398	11.jpeg	FALSE
12	40.4411754	-79.9576398	12.jpeg	TRUE
13	40.4411141	-79.9574742	13.jpeg	FALSE
14	40.4410036	-79.9576304	14.jpeg	FALSE
15	40.4410937	-79.9577444	15.jpeg	FALSE
16	40.4445448	-79.9624983	16.jpeg	FALSE
17	40.4407964	-79.9579073	17.jpeg	FALSE
18	40.4440626	-79.9630149	18.jpeg	FALSE
19	40.4406732	-79.9583325	19.jpeg	FALSE
20	40.4405801	-79.9582161	20.jpeg	FALSE
21	40.4443402	-79.9624648	21.jpeg	FALSE
22	40.4443516	-79.962212	22.jpeg	FALSE
23	40.4405765	-79.9584542	23.jpeg	FALSE
24	40.4443218	-79.961927	24.jpeg	FALSE
25	40.4404788	-79.9583486	25.jpeg	FALSE
26	40.4442927	-79.9586745	26.jpeg	FALSE
27	40.4442927	-79.9586745	27.jpeg	TRUE
28	40.4441588	-79.9615186	28.jpeg	FALSE
29	40.444136	-79.9614113	29.jpeg	FALSE
30	40.4396408	-79.9595549	30.jpeg	FALSE
31	40.4397285	-79.9596535	31.jpeg	FALSE
32	40.4390357	-79.9603438	32.jpeg	FALSE
33	40.4440368	-79.9612568	33.jpeg	FALSE
34	40.443889	-79.9612363	34.jpeg	FALSE
35	40.4437148	-79.961348	35.jpeg	FALSE
36	40.4404887	-79.9600689	36.jpeg	FALSE
37	40.4437148	-79.961348	37.jpeg	FALSE
38	40.4432973	-79.9618012	38.jpeg	FALSE
39	40.4407702	-79.9600333	39.jpeg	FALSE
40	40.4432726	-79.9619984	40.jpeg	FALSE
41	40.4431246	-79.9617117	41.jpeg	FALSE
42	40.4407031	-79.9597836	42.jpeg	FALSE
43	40.4428952	-79.9623883	43.jpeg	FALSE
44	40.441034	-79.959636	44.jpeg	FALSE
45	40.4431083	-79.9628771	45.jpeg	FALSE
46	40.4412139	-79.9593524	46.jpeg	FALSE
47	40.4431455	-79.962911	47.jpeg	FALSE
48	40.4411613	-79.959168	48.jpeg	FALSE
49	40.4412478	-79.9590446	49.jpeg	FALSE
50	40.4414201	-79.9592069	50.jpeg	FALSE
51	40.4415681	-79.9588927	51.jpeg	FALSE
52	40.4420636	-79.9581994	52.jpeg	FALSE
53	40.4416559	-79.9584837	53.jpeg	FALSE
54	40.4417651	-79.9582768	54.jpeg	FALSE
55	40.4421075	-79.9578443	55.jpeg	FALSE
56	40.4421075	-79.9578443	56.jpeg	TRUE
57	40.4423412	-79.9578708	57.jpeg	FALSE
58	40.4419552	-79.9573394	58.jpeg	FALSE
59	40.4427536	-79.9562839	59.jpeg	FALSE
60	40.4427536	-79.9562839	60.jpeg	TRUE
61	40.4428291	-79.9564264	61.jpeg	FALSE
62	40.4428291	-79.9564264	62.jpeg	TRUE
63	40.4429296	-79.9565693	63.jpeg	FALSE
64	40.4434093	-79.956345	64.jpeg	FALSE
65	40.4433849	-79.9560737	65.jpeg	FALSE
66	40.4433849	-79.9560737	66.jpeg	TRUE
67	40.4433167	-79.9558236	67.jpeg	FALSE
68	40.4438916	-79.9556979	68.jpeg	FALSE
69	40.4441978	-79.9549465	69.jpeg	FALSE
70	40.4559098	-79.9388305	70.jpeg	FALSE
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
